id_pleito;tipo_interessado;interessado;cod_ibge;uf;num_pvl;status;num_processo;data_protocolo;tipo_operacao;finalidade;tipo_credor;credor;moeda;valor;pvl_assoc_divida;pvl_contradado_credor;data_status
6334;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.000322/2013-24;2013-08-26T00:00:00Z;Operação contratual interna (com garantia da União);Multissetorial;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1125480000.0;1;1;10/09/2013
10528;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;17944.001222/2010-72;2010-12-20T00:00:00Z;Operação contratual interna (com garantia da União);PAC - Copa Estádios;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;323629000.0;1;0;28/12/2010
18447;Estado;Bahia;29;BA;;Deferido;19407.000024/2006-18;2006-05-11T00:00:00Z;Operação contratual interna;Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;42000000.0;1;0;26/05/2006
18499;Estado;Bahia;29;BA;;Deferido;19407.000036/2002-19;2002-06-26T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2399000.0;1;0;03/07/2002
18507;Estado;Bahia;29;BA;;Deferido;19407.000038/2002-16;2002-06-20T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;3330000.0;1;0;05/07/2002
18523;Estado;Bahia;29;BA;;Deferido;19407.000042/2002-76;2002-06-21T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;11610000.0;1;0;05/07/2002
18369;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;19407.000008/2006-25;2006-02-24T00:00:00Z;Operação contratual externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;100000000.0;1;0;08/08/2007
18356;Estado;Bahia;29;BA;;Encaminhado à PGFN com manifestação técnica favorável;19407.000006/2003-93;2003-03-31T00:00:00Z;Operação contratual externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;60000000.0;1;0;30/10/2003
8336;Estado;Bahia;29;BA;;Deferido;17944.000758/2013-13;2013-11-08T00:00:00Z;Operação contratual interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;115100500.0;1;0;19/11/2013
18555;Estado;Bahia;29;BA;;Deferido;19407.000050/2002-12;2002-06-11T00:00:00Z;Operação contratual interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;677473.26;1;0;05/07/2002
